Observations,Predictions,Station_Co,Station_Name
29.991009,38.65768,3011675,세종시(상조천교)
29.991009,38.65768,3011675,세종시(상조천교)
30.991695,38.65768,3011675,세종시(상조천교)
30.991695,38.65768,3011675,세종시(상조천교)
30.991695,38.65768,3011675,세종시(상조천교)
29.991009,38.65768,3011675,세종시(상조천교)
29.991009,38.65768,3011675,세종시(상조천교)
29.620754,38.65768,3011675,세종시(상조천교)
29.991009,38.65768,3011675,세종시(상조천교)
29.991009,38.65768,3011675,세종시(상조천교)
29.991009,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
29.03035,38.65768,3011675,세종시(상조천교)
27.989635,38.65768,3011675,세종시(상조천교)
31.371954,38.65768,3011675,세종시(상조천교)
30.281208,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
30.491352,38.65768,3011675,세종시(상조천교)
29.991009,38.65768,3011675,세종시(상조천교)
29.780865,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
28.199781,38.65768,3011675,세종시(상조천교)
27.31918,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
29.780865,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
27.779493,38.65768,3011675,세종시(상조천교)
28.820206,38.65768,3011675,세종시(상조천교)
28.06969,38.65768,3011675,세종시(상조천교)
28.910267,38.65768,3011675,세종시(상조천교)
28.409924,38.65768,3011675,세종시(상조천교)
29.70081,38.65768,3011675,세종시(상조천교)
28.820206,38.65768,3011675,세종시(상조천교)
29.490665,38.65768,3011675,세종시(상조천교)
29.320549,38.65768,3011675,세종시(상조천교)
29.03035,38.65768,3011675,세종시(상조천교)
29.70081,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
28.990322,38.65768,3011675,세종시(상조천교)
28.700123,38.65768,3011675,세종시(상조천교)
